recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,pcos_friendly,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
92,"Chicken Biryani","60_flexible_dieting_recipes.pdf","evening","main_course","chicken",1,490,22,NULL,NULL,2,"Rice: 50g, Chicken: 90g, Onion: 60g, Coriander leaves: 8g, Ginger: 3g, Garlic: 4g, Garam masala: 4g, Biryani masala: 7g, Curd: 30g, Chilli powder: 3g, Caraway seeds: 2g, Oil: 5ml, Mint leaves","20","boil_saute",1,0,1
93,"Palak Paneer","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,240,13.5,NULL,NULL,2,"Palak: 75g, Paneer: 50g, Tomato: 30g, Onion: 40g, Milk: 50ml, Oil: 3ml, Ginger: 3g, Garlic: 4g, Vegetable masala: 5-6g, Red chilly: 2-3g, Turmeric, Salt","20","boil_grind_saute",1,1,1
94,"Paneer Matar Masala","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,250,12,NULL,NULL,2,"Paneer: 50g, Peas: 20g, Milk: 30ml, Oil: 5ml, Ginger: 3g, Garlic: 4g, Onion: 50g, Tomato: 25g, Green chillies: 3, Red chilly powder: 3g, Turmeric, Kitchen king masala: 7g","20","grind_saute",1,0,1
95,"Veg Handi","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Cauliflower: 15g, Carrot: 15g, Capsicum: 25g, Onion: 30g, Tomato: 20g, Paneer: 50g, Mushroom: 20g, French beans: 15g, Red chilly powder: 2-3g, Garam masala: 2-3g, Ginger garlic paste: 10g, Oil: 5ml","20","grind_saute",1,0,1
96,"Peanut Butter Muffin","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,227,8.25,NULL,NULL,2,"Ground almonds: 60g, Oat flour: 50g, Sugar free Peanut Butter: 150g, Stevia, Low fat milk: 30-50ml, Vanilla Essence: 1 tbsp","25","bake",1,1,1
97,"Gajar Ka Halwa (Sugar Free)","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,292,7.5,NULL,NULL,2,"Carrots grated: 100g, Milk: 60ml, Cardamom powder, Almonds: 8g, Pistachio: 9g, Stevia","20","saute",0,1,1
98,"Guava Ice Cream","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,259,22,NULL,NULL,2,"Guava: 50g, Almond: 10g, Cashew: 5g, Unsweetened yoghurt: 70g, Stevia, Whey protein powder: 15.5g, Red chilly powder: pinch","15","blend_freeze",1,1,1
99,"Badam Kulfi","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,646,24,NULL,NULL,2,"Raw almonds: 64g, Cashews: 38g, Milk: 100ml, Saffron: 2-3 strands, Artificial sweetener, Cardamom powder: pinch","30","soak_blend_freeze",0,1,1
100,"Phirni","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,230,6,NULL,NULL,2,"Milk: 100ml, Rice: 35g, Cardamom: pinch, Saffron: 2-3 strings, Almond: 6g, Stevia","20","cook_refrigerate",0,1,1
101,"Yogurt Bark","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,334,17,NULL,NULL,2,"Unsweetened yoghurt: 100g, Cocoa powder: 20g, Stevia, Peanut butter: 20g, Strawberry: 100g","15","freeze",1,1,1
102,"Makhana Kheer","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,202,9,NULL,NULL,2,"Milk: 120ml, Makhana: 20g, Almonds: 10g, Rose essence: 2 drops, Stevia","15","roast_boil",0,1,1
103,"Rose Shrikhand","60_flexible_dieting_recipes.pdf","evening","dessert","veg",1,115,8.5,NULL,NULL,2,"Unsweetened yoghurt: 100g, Roohafza: 14g, Cardamom powder: 3g","10","mix_refrigerate",1,1,1
